ID,RA_DMS,DEC_DMS,SEMI_MAJ_PC,SEMI_MIN_PC,AVG_RAD_PC,PA_DEG,ARM,DIST_ARM_PC,GAL_RAD_KPC
1,24d09m4.2s,15d48m10.3s,219,91,177,70,,,4.99
2,24d09m5.1s,15d48m10.8s,110,0,73,70,,,4.98
3,24d10m11.5s,15d48m8.0s,256,183,232,70,,,3.26
4,24d10m16.5s,15d47m11.4s,35,35,35,0,,,0.65
5,24d10m16.5s,15d47m4.2s,25,25,25,0,,,0.45
6,24d10m16.8s,15d47m8.1s,26,26,26,0,,,0.53
7,24d10m17.8s,15d46m48.4s,110,66,96,31,,,0.71
8,24d10m20.3s,15d46m56.9s,89,23,67,11,,,0.33
9,24d10m20.8s,15d47m9.8s,175,58,136,-69,,,0.47
10,24d10m21.2s,15d46m43.2s,66,0,44,-20,,,0.88
11,24d10m21.7s,15d46m43.3s,87,46,73,-19,,,0.87
12,24d10m23.0s,15d46m54.7s,31,31,31,0,,,0.33
13,24d10m23.6s,15d47m8.0s,127,31,95,-64,,,0.35
14,24d10m23.8s,15d47m12.3s,25,25,25,0,,,0.54
15,24d10m24.7s,15d47m12.3s,21,21,21,0,,,0.54
16,24d10m24.9s,15d46m54.6s,47,23,39,-49,,,0.31
17,24d10m26.1s,15d47m50.7s,0,0,0,70,,,2.37
18,24d10m26.1s,15d47m7.4s,88,37,71,-29,,,0.30
19,24d10m26.2s,15d46m43.2s,127,48,101,-29,,,0.86
20,24d10m26.6s,15d47m1.0s,330,173,278,31,,,0.03
21,24d10m26.9s,15d47m1.4s,0,0,0,70,,,0.05
22,24d10m27.0s,15d47m1.2s,0,0,0,0,,,0.05
23,24d10m27.3s,15d46m47.3s,104,45,84,-39,,,0.66
24,24d10m28.4s,15d47m6.0s,37,37,37,70,,,0.26
25,24d10m28.8s,15d46m52.3s,162,55,126,-49,,,0.44
26,24d10m30.4s,15d47m4.5s,48,37,44,70,,,0.26
27,24d10m30.8s,15d46m39.1s,114,39,89,11,,,1.07
28,24d10m31.2s,15d46m55.9s,89,45,74,-69,,,0.35
29,24d10m33.0s,15d47m3.9s,35,35,35,0,,,0.35
30,24d10m33.5s,15d46m55.6s,40,37,39,70,,,0.44
31,24d10m33.8s,15d47m3.2s,39,39,39,0,,,0.38
32,24d10m36.7s,15d46m59.9s,24,24,24,0,,,0.50
33,24d10m36.7s,15d46m42.6s,51,40,48,70,,,1.01
34,24d10m38.1s,15d46m58.1s,29,29,29,0,,,0.58
35,24d10m39.0s,15d46m51.0s,59,59,59,0,,,0.77
36,24d10m39.0s,15d46m54.3s,46,46,46,0,,,0.68
37,24d10m39.3s,15d46m56.2s,19,19,19,0,,,0.66
38,24d10m42.2s,15d46m47.4s,59,37,51,41,,,0.99
39,24d10m44.0s,15d46m52.6s,48,37,44,70,,,0.92
40,24d10m48.6s,15d46m46.5s,95,42,77,31,,,1.25
41,24d10m49.0s,15d47m52.3s,347,210,302,-20,,,2.66
42,24d10m49.5s,15d48m8.9s,249,168,222,-49,,,3.41
43,24d10m49.8s,15d47m40.0s,219,201,213,70,,,2.16
44,24d10m52.5s,15d48m30.7s,122,122,122,0,,,4.44
45,24d10m54.0s,15d47m25.1s,101,91,98,-20,,,1.72
46,24d10m54.0s,15d46m32.8s,40,37,39,70,,,1.87
47,24d10m54.4s,15d46m36.8s,162,99,141,70,,,1.75
48,24d10m54.7s,15d46m38.4s,151,99,134,-49,,,1.71
49,24d10m55.2s,15d47m24.1s,0,0,0,70,,,1.74
50,24d10m56.1s,15d47m49.7s,366,247,326,11,,,2.70
51,24d10m56.2s,15d47m23.0s,37,27,34,-20,,,1.74
52,24d11m1.6s,15d46m9.1s,40,37,39,70,,,2.98
53,24d11m2.0s,15d46m57.6s,82,73,79,-20,,,1.67
54,24d11m4.3s,15d46m7.5s,33,22,29,-49,,,3.11
55,24d11m9.7s,15d46m21.0s,452,452,452,0,,,2.78
56,24d11m10.9s,15d46m42.7s,128,37,98,70,,,2.24
57,24d11m11.1s,15d46m49.7s,62,44,56,70,,,2.15
58,24d11m11.5s,15d46m42.5s,104,85,98,-20,,,2.27
59,24d11m13.0s,15d46m32.9s,43,37,41,70,,,2.55
60,24d11m13.4s,15d46m47.7s,46,43,45,-20,,,2.27
61,24d11m15.1s,15d46m31.2s,58,31,49,41,,,2.67
62,24d11m15.3s,15d46m46.1s,52,40,48,-20,,,2.38
63,24d11m16.1s,15d46m34.2s,66,59,64,-20,,,2.64
64,24d11m16.5s,15d46m55.0s,59,48,55,70,,,2.34
65,24d11m16.6s,15d46m51.9s,85,22,64,26,,,2.37
66,24d11m17.2s,15d46m8.4s,52,46,50,70,,,3.45
67,24d11m18.2s,15d46m38.9s,77,74,76,70,,,2.63
68,24d11m18.6s,15d45m45.6s,83,49,72,21,,,4.34
69,24d11m18.7s,15d46m37.8s,55,37,49,-20,,,2.67
70,24d11m19.0s,15d46m9.3s,70,55,65,-20,,,3.47
71,24d11m19.3s,15d46m36.1s,67,61,65,-20,,,2.73
72,24d11m19.9s,15d45m54.2s,69,31,56,-9,,,4.04
