ID,RA_DMS,DEC_DMS,SEMI_MAJ_PC,SEMI_MIN_PC,AVG_RAD_PC,PA_DEG,ARM,DIST_ARM_PC,GAL_RAD_KPC
1,353d35m32.1s,-36d05m18.0s,48,20,39,-20,,,10198.94
2,353d35m34.1s,-36d05m42.0s,36,17,30,20,,,10199.83
3,353d35m35.3s,-36d05m39.5s,108,47,87,-50,,,10199.71
4,353d35m35.5s,-36d05m28.5s,28,21,26,0,,,10199.27
5,353d35m35.8s,-36d05m27.9s,28,26,27,0,,,10199.24
6,353d35m36.1s,-36d05m28.7s,28,26,27,0,,,10199.27
7,353d35m37.5s,-36d05m31.5s,53,32,46,20,,,10199.35
8,353d35m40.9s,-36d05m45.0s,79,58,72,-10,,,10199.80
9,353d35m41.5s,-36d05m48.8s,84,71,79,70,,,10199.94
10,353d35m42.5s,-36d05m15.5s,132,114,126,20,,,10198.61
11,353d35m44.2s,-36d05m24.7s,61,24,49,-20,,,10198.94
12,353d35m44.2s,-36d05m34.2s,26,19,23,-90,,,10199.31
13,353d35m45.6s,-36d05m39.6s,89,66,82,-50,,,10199.49
14,353d35m46.0s,-36d05m34.2s,64,53,60,-90,,,10199.27
15,353d35m46.9s,-36d05m38.0s,28,28,28,0,,,10199.40
16,353d35m47.5s,-36d05m37.5s,32,19,28,0,,,10199.36
17,353d35m47.6s,-36d06m17.0s,22,18,21,0,,,10200.91
18,353d35m47.8s,-36d05m39.9s,30,30,30,0,,,10199.45
19,353d35m48.4s,-36d05m26.5s,32,30,31,0,,,10198.91
20,353d35m49.6s,-36d06m17.3s,74,74,74,0,,,10200.88
21,353d35m50.8s,-36d05m38.7s,74,25,57,-10,,,10199.34
22,353d35m52.1s,-36d05m59.2s,169,159,166,0,,,10200.11
23,353d35m53.8s,-36d05m22.0s,74,46,64,0,,,10198.62
24,353d35m54.2s,-36d06m38.3s,260,165,229,-80,,,10201.60
25,353d35m54.3s,-36d06m12.5s,226,122,191,-10,,,10200.59
26,353d35m54.4s,-36d06m16.7s,132,132,132,0,,,10200.75
27,353d35m55.1s,-36d06m8.1s,116,61,98,-20,,,10200.40
28,353d35m55.4s,-36d06m5.7s,101,75,93,80,,,10200.30
29,353d35m55.5s,-36d05m36.1s,23,20,22,0,,,10199.13
